,spin,model,strength,polar angle,azimuthal angle
128,0.2,point,1e-12,0.6283185307179586,0
129,0.3,point,1e-12,0.6283185307179586,0
130,0.4,point,1e-12,0.6283185307179586,0
131,0.5,point,1e-12,0.6283185307179586,0
132,0.75,point,1e-12,0.6283185307179586,0
133,0.9,point,1e-12,0.6283185307179586,0
134,0.99,point,1e-12,0.6283185307179586,0
135,0.001,point,1e-11,0.6283185307179586,0
136,0.1,point,1e-11,0.6283185307179586,0
137,0.2,point,1e-11,0.6283185307179586,0
138,0.3,point,1e-11,0.6283185307179586,0
139,0.4,point,1e-11,0.6283185307179586,0
140,0.5,point,1e-11,0.6283185307179586,0
141,0.75,point,1e-11,0.6283185307179586,0
142,0.9,point,1e-11,0.6283185307179586,0
143,0.99,point,1e-11,0.6283185307179586,0
144,0.001,point,1e-10,0.6283185307179586,0
145,0.1,point,1e-10,0.6283185307179586,0
146,0.2,point,1e-10,0.6283185307179586,0
147,0.3,point,1e-10,0.6283185307179586,0
148,0.4,point,1e-10,0.6283185307179586,0
149,0.5,point,1e-10,0.6283185307179586,0
150,0.75,point,1e-10,0.6283185307179586,0
151,0.9,point,1e-10,0.6283185307179586,0
152,0.99,point,1e-10,0.6283185307179586,0
153,0.001,point,1e-09,0.6283185307179586,0
154,0.1,point,1e-09,0.6283185307179586,0
155,0.2,point,1e-09,0.6283185307179586,0
156,0.3,point,1e-09,0.6283185307179586,0
157,0.4,point,1e-09,0.6283185307179586,0
158,0.5,point,1e-09,0.6283185307179586,0
159,0.75,point,1e-09,0.6283185307179586,0
160,0.9,point,1e-09,0.6283185307179586,0
161,0.99,point,1e-09,0.6283185307179586,0
162,0.001,point,1e-08,0.6283185307179586,0
163,0.1,point,1e-08,0.6283185307179586,0
164,0.2,point,1e-08,0.6283185307179586,0
165,0.3,point,1e-08,0.6283185307179586,0
166,0.4,point,1e-08,0.6283185307179586,0
167,0.5,point,1e-08,0.6283185307179586,0
168,0.75,point,1e-08,0.6283185307179586,0
169,0.9,point,1e-08,0.6283185307179586,0
170,0.99,point,1e-08,0.6283185307179586,0
171,0.001,point,1e-07,0.6283185307179586,0
172,0.1,point,1e-07,0.6283185307179586,0
173,0.2,point,1e-07,0.6283185307179586,0
174,0.3,point,1e-07,0.6283185307179586,0
175,0.4,point,1e-07,0.6283185307179586,0
176,0.5,point,1e-07,0.6283185307179586,0
